iter	Passed	Remaining
0	119	95852
1	294	117481
2	410	109022
3	587	116851
4	751	119442
5	901	119259
6	1053	119330
7	1183	117125
8	1328	116742
9	1466	115838
10	1580	113374
11	1720	112986
12	1854	112276
13	1969	110592
14	2151	112580
15	2304	112932
16	2469	113739
17	2606	113258
18	2782	114375
19	2945	114872
20	3113	115496
21	3261	115334
22	3402	114947
23	3548	114726
24	3690	114404
25	3840	114341
26	4002	114601
27	4149	114407
28	4271	113566
29	4419	113443
30	4561	113143
31	4668	112037
32	4800	111585
33	4947	111471
34	5069	110810
35	5216	110697
36	5336	110041
37	5456	109410
38	5577	108826
39	5689	108104
40	5818	107704
41	5934	107109
42	6062	106723
43	6204	106608
44	6322	106071
45	6457	105841
46	6603	105792
47	6764	105977
48	6890	105602
49	7033	105505
50	7158	105132
51	7314	105219
52	7463	105189
53	7600	104994
54	7746	104930
55	7881	104713
56	8032	104700
57	8166	104470
58	8323	104540
59	8467	104435
60	8615	104374
61	8763	104318
62	8930	104470
63	9062	104220
64	9213	104184
65	9337	103838
66	9470	103611
67	9618	103545
68	9764	103447
69	9913	103387
70	10067	103369
71	10185	102990
72	10313	102711
73	10451	102535
74	10598	102451
75	10728	102206
76	10859	101968
77	10993	101757
78	11117	101463
79	11282	101539
80	11429	101451
81	11580	101396
82	11756	101562
83	11879	101255
84	12017	101092
85	12160	100957
86	12301	100812
87	12441	100663
88	12582	100517
89	12718	100331
90	12843	100065
91	12985	99929
92	13110	99664
93	13240	99444
94	13377	99276
95	13525	99186
96	13644	98888
97	13792	98799
98	13938	98698
99	14079	98558
100	14207	98326
101	14330	98063
102	14475	97956
103	14605	97742
104	14746	97605
105	14902	97567
106	15049	97468
107	15192	97346
108	15349	97304
109	15488	97158
110	15627	97005
111	15742	96704
112	15873	96504
113	16018	96390
114	16132	96091
115	16269	95933
116	16407	95781
117	16559	95707
118	16710	95631
119	16838	95416
120	16969	95227
121	17097	95015
122	17227	94820
123	17384	94771
124	17528	94655
125	17672	94535
126	17829	94481
127	17955	94265
128	18104	94172
129	18251	94066
130	18401	93973
131	18523	93740
132	18652	93543
133	18799	93438
134	18948	93336
135	19095	93230
136	19239	93108
137	19393	93033
138	19539	92918
139	19681	92784
140	19809	92584
141	19931	92359
142	20077	92244
143	20206	92050
144	20355	91949
145	20498	91821
146	20643	91702
147	20775	91522
148	20900	91317
149	21053	91231
150	21210	91164
151	21342	90986
152	21467	90780
153	21620	90694
154	21760	90552
155	21907	90439
156	22054	90327
157	22179	90123
158	22355	90124
159	22503	90014
160	22718	90169
161	22887	90135
162	23042	90048
163	23184	89911
164	23335	89804
