iter	Logloss
0	0.5371280597
1	0.4404500699
2	0.3811840377
3	0.343720678
4	0.3202088162
5	0.3050607153
6	0.2945857532
7	0.2883167872
8	0.2833542764
9	0.2799423821
10	0.2772254583
11	0.2756318239
12	0.2743760808
13	0.2733820964
14	0.2724808292
15	0.2717563316
16	0.2712778816
17	0.2708062147
18	0.2704249137
19	0.2700848557
20	0.269743431
21	0.2694726419
22	0.2691679438
23	0.2689447823
24	0.2687368174
25	0.2685405512
26	0.2683051492
27	0.2681341908
28	0.2679853971
29	0.2677594739
30	0.2675429591
31	0.2674033917
32	0.2672490716
33	0.2671045999
34	0.2670005221
35	0.2668722576
36	0.266704404
37	0.2666213573
38	0.2664928262
39	0.2663891345
40	0.2662358933
41	0.2661212181
42	0.2660056238
43	0.265872884
44	0.265781777
45	0.2656842442
46	0.2656190216
47	0.2655581174
48	0.2654493138
49	0.2653731751
50	0.2652671435
51	0.2652127306
52	0.2651284506
53	0.2650983799
54	0.2650278034
55	0.2649515035
56	0.2648578322
57	0.2647929439
58	0.2647252481
59	0.2646280964
60	0.2645674747
61	0.2644922113
62	0.2644011752
63	0.2643333299
64	0.2642609644
65	0.2642302505
66	0.2641789383
67	0.2640882212
68	0.2640304074
69	0.2639712162
70	0.2638810008
71	0.2638422362
72	0.2637290195
73	0.2636509651
74	0.2636087085
75	0.2635149356
76	0.2634738258
77	0.2634050925
78	0.2633239359
79	0.2632409064
80	0.2631596712
81	0.2631319514
82	0.263074705
83	0.2629606446
84	0.2628950515
85	0.2627828774
86	0.2627408148
87	0.2626241953
88	0.2625468467
89	0.2625150859
90	0.262419992
91	0.2623148517
92	0.2622519714
93	0.2621710077
94	0.262126246
95	0.2620475914
96	0.261938138
97	0.2619062143
98	0.2618475404
99	0.2617756094
100	0.2616938399
101	0.2616284592
102	0.2615530086
103	0.2614536767
104	0.2613773795
105	0.2612766189
106	0.2612302637
107	0.2611656792
108	0.2611047839
109	0.26104128
110	0.2609929998
111	0.2609202591
112	0.2608410964
113	0.260789624
114	0.2607200152
115	0.2606446846
116	0.2605737671
117	0.2605190633
118	0.2604561571
119	0.2603564308
120	0.2602860177
121	0.2602371799
122	0.2602002336
123	0.2601562175
124	0.2600953705
125	0.2600427288
126	0.2600010419
127	0.2599256632
128	0.2598950926
129	0.2598368524
130	0.2597576338
131	0.2596761216
132	0.259576003
133	0.2595230886
134	0.2594514406
135	0.2594082503
136	0.2593356598
137	0.2592730877
138	0.2592520093
139	0.2591842231
140	0.2591469703
141	0.2591180436
142	0.2590414652
143	0.2589638909
144	0.2588725523
145	0.2588229053
146	0.2587307895
147	0.2586536345
148	0.2586100104
149	0.2585631549
150	0.2585316718
151	0.2584957356
152	0.2584405408
153	0.258328622
154	0.2582773392
155	0.2582020674
156	0.2581616273
157	0.2580550683
158	0.2579673477
159	0.2579112404
160	0.2578268429
161	0.257796399
162	0.2577504897
163	0.2576778513
164	0.257613722
165	0.2575448426
166	0.2574698498
167	0.2573895103
168	0.2573453245
169	0.2573084627
170	0.2572521994
171	0.2572106601
172	0.2571547279
173	0.2571088566
174	0.2570411195
175	0.2570105192
176	0.2569296523
177	0.2568664148
178	0.2567732898
