iter	Passed	Remaining
0	88	53102
1	183	54819
2	300	59773
3	419	62512
4	526	62667
5	627	62147
6	714	60500
7	821	60769
8	928	60980
9	1028	60665
10	1126	60336
11	1221	59845
12	1365	61666
13	1487	62267
14	1591	62049
15	1725	62977
16	1839	63083
17	1970	63707
18	2100	64222
19	2272	65910
20	2425	66883
21	2562	67328
22	2682	67287
23	2787	66909
24	2880	66256
25	2995	66122
26	3100	65805
27	3189	65155
28	3299	64960
29	3407	64737
30	3517	64557
31	3635	64536
32	3754	64507
33	3863	64320
34	3957	63889
35	4049	63441
36	4156	63252
37	4261	63023
38	4398	63268
39	4572	64008
40	4678	63783
41	4792	63677
42	4911	63617
43	5034	63619
44	5158	63616
45	5248	63215
46	5354	63003
47	5466	62868
48	5581	62764
49	5690	62596
50	5796	62400
51	5890	62076
52	6019	62124
53	6138	62063
54	6248	61919
55	6358	61766
56	6465	61590
57	6576	61452
58	6675	61209
59	6788	61097
60	6919	61142
61	7040	61090
62	7131	60787
63	7225	60516
64	7326	60301
65	7438	60182
66	7534	59940
67	7629	59692
68	7746	59615
69	7871	59596
70	7979	59455
71	8083	59278
72	8188	59115
73	8313	59092
74	8407	58855
75	8528	58800
76	8632	58635
77	8721	58365
78	8827	58219
79	9000	58501
80	9115	58407
81	9234	58333
82	9358	58293
83	9482	58251
84	9599	58159
85	9712	58048
86	9817	57889
87	9916	57697
88	10030	57590
89	10127	57387
90	10221	57171
91	10324	57011
92	10433	56881
93	10540	56738
94	10647	56598
95	10757	56479
96	10846	56247
97	10954	56112
98	11066	56001
99	11167	55836
100	11268	55673
101	11389	55605
102	11498	55482
103	11606	55353
104	11714	55225
105	11825	55110
106	11939	55009
107	12050	54896
108	12151	54738
109	12279	54700
110	12405	54653
111	12520	54555
112	12628	54423
113	12727	54259
114	12836	54135
115	12923	53923
116	13020	53749
117	13115	53573
118	13240	53517
119	13367	53471
120	13461	53287
121	13548	53082
122	13628	52850
123	13740	52744
124	13889	52780
125	14005	52688
126	14100	52516
127	14199	52358
128	14306	52235
129	14453	52253
130	14569	52161
131	14688	52077
132	14802	51976
133	14903	51829
134	14994	51648
135	15096	51507
136	15208	51399
137	15325	51307
138	15440	51210
139	15553	51105
140	15662	50987
141	15758	50827
142	15854	50667
143	15948	50503
144	16068	50421
145	16174	50295
146	16335	50339
147	16458	50264
148	16587	50208
149	16699	50098
150	16805	49972
151	16913	49849
152	17020	49726
153	17128	49604
154	17239	49494
155	17346	49371
156	17457	49257
157	17555	49111
158	17674	49022
159	17796	48940
160	17920	48862
161	18015	48709
162	18141	48636
163	18315	48691
164	18432	48593
165	18648	48756
166	18839	48848
167	18970	48780
168	19093	48693
169	19211	48593
170	19327	48489
171	19431	48353
172	19536	48220
173	19643	48092
174	19738	47937
175	19853	47829
176	19951	47679
177	20066	47573
178	20187	47481
179	20302	47371
180	20418	47266
181	20512	47111
182	20629	47008
183	20731	46871
184	20836	46740
185	20945	46621
186	21056	46504
187	21150	46351
188	21250	46211
189	21360	46094
190	21467	45969
191	21560	45816
192	21667	45691
193	21775	45571
194	21868	45419
195	21985	45316
196	22075	45160
197	22171	45014
198	22282	44901
199	22411	44823
200	22585	44833
201	22702	44731
202	22800	44590
203	22897	44447
204	22994	44306
205	23114	44208
206	23246	44134
207	23359	44024
208	23472	43913
209	23559	43753
210	23660	43620
211	23757	43481
212	23859	43349
213	23956	43211
214	24054	43073
215	24149	42931
216	24257	42813
217	24351	42670
218	24444	42526
219	24538	42385
220	24650	42273
221	24740	42126
222	24848	42008
223	24948	41878
224	25060	41768
225	25168	41650
226	25280	41540
227	25374	41400
228	25470	41263
229	25564	41126
230	25658	40986
231	25765	40868
232	25856	40726
233	25972	40623
234	26079	40505
235	26184	40386
236	26283	40257
237	26391	40140
238	26492	40015
239	26599	39899
240	26713	39793
241	26844	39712
242	26938	39576
243	27029	39437
244	27133	39316
245	27246	39208
246	27362	39105
247	27478	39001
248	27592	38895
249	27705	38787
250	27799	38653
251	27909	38542
252	28024	38436
253	28117	38301
254	28230	38194
255	28336	38077
256	28431	37945
257	28540	37832
258	28630	37694
259	28740	37583
260	28848	37469
261	28961	37362
262	29051	37226
263	29160	37113
264	29257	36985
265	29367	36875
266	29478	36765
267	29591	36658
268	29707	36554
269	29816	36442
270	29907	36308
271	30022	36203
272	30134	36095
273	30235	35973
274	30345	35862
275	30465	35764
276	30612	35696
277	30711	35572
278	30821	35460
279	30935	35355
280	31060	35261
281	31163	35141
282	31278	35036
283	31396	34933
284	31507	34824
285	31622	34718
286	31730	34604
287	31827	34479
288	31926	34357
289	32046	34256
290	32166	34156
291	32287	34056
292	32404	33952
293	32520	33848
294	32633	33739
295	32752	33637
296	32845	33509
297	32941	33383
298	33055	33276
299	33155	33155
300	33276	33055
301	33374	32932
302	33470	32807
303	33571	32688
304	33685	32580
305	33800	32475
306	33914	32368
307	34029	32261
308	34146	32156
309	34246	32037
310	34359	31928
311	34474	31822
312	34589	31715
313	34711	31616
314	34806	31491
315	34916	31380
316	35033	31276
317	35130	31153
318	35263	31063
319	35376	30954
320	35476	30834
321	35594	30730
322	35707	30622
323	35806	30501
324	35927	30400
325	36044	30295
326	36141	30173
327	36254	30064
328	36371	29959
329	36488	29853
330	36607	29750
331	36713	29636
332	36813	29517
333	36928	29410
334	37033	29295
335	37135	29178
336	37250	29070
337	37368	28966
338	37491	28864
339	37601	28754
340	37706	28638
341	37823	28533
342	37931	28420
343	38045	28313
344	38141	28191
345	38254	28082
346	38373	27978
347	38481	27865
348	38597	27759
349	38715	27653
350	38816	27536
351	38934	27430
352	39048	27322
353	39167	27218
354	39287	27114
355	39453	27041
356	39570	26934
357	39685	26826
358	39786	26708
359	39878	26585
360	39995	26478
361	40111	26371
362	40227	26264
363	40341	26155
364	40453	26045
365	40574	25941
366	40691	25834
367	40791	25716
368	40906	25608
369	41012	25494
370	41130	25387
371	41240	25276
372	41356	25168
373	41450	25047
374	41568	24941
375	41688	24835
376	41785	24716
377	41904	24610
378	41999	24490
379	42115	24382
380	42235	24277
381	42346	24166
382	42459	24056
383	42557	23938
384	42673	23830
385	42776	23715
386	42870	23595
387	42986	23487
388	43100	23378
389	43218	23271
390	43336	23164
391	43434	23046
392	43547	22937
393	43637	22815
394	43787	22725
395	43902	22616
396	44014	22506
397	44129	22397
398	44240	22286
399	44338	22169
400	44457	22062
401	44555	21945
402	44668	21835
403	44778	21724
404	44885	21611
405	44982	21493
406	45094	21383
407	45209	21275
408	45302	21156
409	45401	21039
410	45518	20931
411	45633	20822
412	45748	20714
413	45860	20603
414	45978	20496
415	46094	20387
416	46194	20272
417	46313	20165
418	46419	20052
419	46534	19943
420	46652	19835
421	46760	19723
422	46855	19606
423	46945	19486
424	47048	19372
425	47160	19262
426	47272	19152
427	47368	19035
428	47483	18926
429	47580	18810
430	47678	18695
431	47770	18577
432	47866	18461
433	47978	18351
434	48075	18235
435	48187	18125
436	48291	18012
437	48419	17908
438	48533	17799
439	48647	17690
440	48764	17581
441	48873	17470
442	48987	17361
443	49089	17247
444	49184	17131
445	49300	17023
446	49407	16911
447	49514	16799
448	49629	16690
449	49742	16580
450	49855	16471
451	49967	16361
452	50077	16250
453	50190	16140
454	50334	16040
455	50452	15932
456	50571	15824
457	50677	15712
458	50789	15602
459	50896	15490
460	50994	15375
461	51109	15266
462	51213	15153
463	51324	15043
464	51430	14931
465	51528	14817
466	51648	14709
467	51741	14593
468	51859	14485
469	51975	14376
470	52093	14267
471	52208	14158
472	52327	14049
473	52419	13934
474	52519	13820
475	52633	13711
476	52729	13596
477	52827	13483
478	52944	13374
479	53055	13263
480	53170	13154
481	53282	13044
482	53374	12929
483	53487	12819
484	53603	12710
485	53720	12601
486	53816	12487
487	53906	12371
488	53998	12257
489	54116	12148
490	54214	12035
