iter	Passed	Remaining
0	107	47303
1	264	57985
2	368	53773
3	503	55005
4	605	52756
5	742	53847
6	919	57007
7	1113	60252
8	1255	60252
9	1375	59281
10	1475	57690
11	1598	57133
12	1728	56898
13	1862	56817
14	2007	57023
15	2132	56637
16	2262	56428
17	2382	55977
18	2481	55114
19	2591	54541
20	2717	54343
21	2834	53993
22	2955	53710
23	3079	53508
24	3185	53013
25	3300	52676
26	3415	52371
27	3530	52078
28	3650	51860
29	3753	51416
30	3866	51139
31	3984	50926
32	4107	50783
33	4233	50680
34	4328	50212
35	4439	49940
36	4566	49862
37	4666	49487
38	4762	49092
39	4887	48993
40	5003	48813
41	5121	48655
42	5241	48516
43	5351	48286
44	5453	47994
45	5563	47773
46	5683	47642
47	5800	47488
48	5895	47162
49	6010	47005
50	6119	46794
51	6219	46529
52	6349	46484
53	6451	46236
54	6573	46136
55	6692	46009
56	6818	45934
57	6938	45817
58	7045	45613
59	7160	45471
60	7254	45193
61	7362	45009
62	7469	44819
63	7581	44659
64	7682	44438
65	7802	44333
66	7906	44135
67	8007	43922
68	8134	43853
69	8235	43648
70	8348	43508
71	8460	43361
72	8558	43142
73	8664	42973
74	8784	42869
75	8907	42778
76	9018	42634
77	9146	42565
78	9264	42454
79	9385	42350
80	9487	42165
81	9612	42085
82	9718	41919
83	9835	41798
84	9941	41637
85	10041	41451
86	10152	41309
87	10273	41211
88	10377	41043
89	10504	40969
90	10630	40887
91	10732	40714
92	10858	40632
93	10958	40452
94	11084	40369
95	11205	40270
96	11310	40113
97	11426	39994
98	11542	39874
99	11661	39766
100	11782	39663
101	11900	39553
102	12019	39441
103	12121	39277
104	12235	39153
105	12359	39059
106	12473	38935
107	12581	38793
108	12680	38624
109	12797	38509
110	12925	38427
111	13050	38336
112	13147	38163
113	13264	38047
114	13382	37935
115	13504	37835
116	13625	37731
117	13756	37655
118	13879	37556
119	14004	37462
120	14108	37311
121	14227	37202
122	14332	37054
123	14436	36905
124	14545	36771
125	14667	36669
126	14791	36571
127	14908	36456
128	15025	36341
129	15147	36236
130	15263	36119
131	15373	35988
132	15479	35846
133	15604	35751
134	15700	35586
135	15813	35464
136	15935	35360
137	16055	35251
138	16163	35118
139	16279	35001
140	16396	34887
141	16519	34783
142	16636	34669
143	16744	34536
144	16844	34386
145	16965	34279
146	17080	34160
147	17202	34057
148	17325	33953
149	17445	33843
150	17555	33716
151	17667	33592
152	17787	33482
153	17907	33373
154	18016	33243
155	18138	33137
156	18239	32994
157	18383	32927
158	18645	33069
159	18768	32962
160	18877	32830
161	19002	32726
162	19141	32646
163	19261	32532
164	19439	32517
165	19566	32414
166	19704	32329
167	19834	32231
168	19967	32136
169	20100	32042
170	20219	31925
171	20372	31861
172	20556	31844
173	20681	31735
174	20805	31623
175	20924	31504
176	21052	31400
177	21210	31338
178	21325	31213
179	21450	31103
180	21570	30985
181	21725	30916
182	21858	30816
183	22022	30759
184	22189	30705
185	22309	30585
186	22431	30468
187	22550	30347
188	22688	30250
189	22818	30144
190	22930	30014
191	23070	29920
192	23216	29833
193	23321	29692
194	23431	29560
195	23557	29446
196	23692	29345
197	23829	29244
198	23957	29134
199	24113	29056
200	24245	28949
201	24350	28810
202	24486	28707
203	24617	28599
204	24722	28461
205	24822	28316
206	24950	28204
207	25088	28103
208	25210	27985
209	25341	27875
210	25466	27759
211	25581	27633
212	25703	27513
213	25840	27410
214	25979	27308
215	26088	27175
216	26210	27056
217	26317	26921
218	26428	26790
219	26524	26645
220	26631	26511
221	26755	26394
222	26857	26255
223	26972	26129
224	27086	26003
225	27200	25876
226	27330	25765
227	27450	25644
228	27568	25522
229	27670	25385
230	27770	25246
231	27885	25120
232	28009	25004
233	28112	24868
234	28240	24755
235	28357	24632
236	28476	24511
237	28571	24370
238	28701	24258
239	28815	24133
240	28914	23995
241	29024	23867
242	29141	23744
243	29269	23631
244	29414	23531
245	29531	23409
246	29657	23293
247	29785	23179
248	29901	23056
249	30026	22940
250	30148	22821
251	30270	22702
252	30387	22580
253	30515	22466
254	30636	22346
255	30757	22226
256	30878	22107
257	30976	21971
258	31101	21855
259	31205	21723
260	31324	21602
261	31443	21482
262	31569	21366
263	31697	21251
264	31817	21131
265	31922	21001
266	32039	20879
267	32161	20761
268	32257	20625
269	32395	20517
270	32498	20386
271	32624	20270
272	32758	20158
273	32884	20042
274	32999	19919
275	33118	19798
276	33245	19683
277	33341	19548
278	33469	19434
279	33602	19321
280	33712	19195
281	33821	19069
282	33936	18946
283	34037	18816
284	34143	18689
285	34267	18571
286	34367	18441
287	34479	18316
288	34595	18195
289	34736	18087
290	34875	17977
291	35006	17862
292	35134	17747
293	35245	17622
294	35376	17508
295	35500	17390
296	35626	17273
297	35725	17143
298	35827	17015
299	35992	16916
300	36110	16795
301	36256	16687
302	36525	16635
303	36670	16525
304	36807	16412
305	36965	16308
306	37093	16190
307	37231	16077
308	37359	15959
309	37569	15876
310	37698	15758
311	37849	15649
312	37973	15529
313	38106	15412
314	38244	15297
315	38436	15204
316	38542	15076
317	38676	14959
318	38901	14877
319	39038	14761
320	39148	14634
321	39249	14505
322	39356	14377
323	39500	14264
324	39644	14150
325	39778	14032
326	39928	13919
327	40141	13829
328	40331	13729
329	40555	13641
330	40746	13541
331	40916	13433
332	41043	13311
333	41212	13202
334	41365	13088
335	41520	12975
336	41677	12861
337	41836	12748
338	41967	12627
339	42135	12516
340	42253	12391
341	42407	12275
342	42563	12160
343	42698	12040
344	42832	11918
345	43004	11807
346	43146	11688
347	43289	11568
348	43414	11444
349	43579	11330
350	43769	11222
351	43935	11108
352	44107	10995
353	44246	10874
354	44404	10757
355	44537	10634
356	44706	10519
357	44857	10399
358	44989	10276
359	45146	10158
360	45315	10042
361	45482	9925
362	45701	9820
363	45847	9698
364	46013	9580
365	46218	9471
366	46456	9367
367	46608	9245
368	46988	9168
369	47530	9120
370	47836	9025
371	47993	8902
372	48146	8777
373	48323	8656
374	48535	8542
375	48729	8423
376	48979	8314
377	49209	8201
378	49387	8079
379	49602	7962
