iter	Passed	Remaining
0	114	44101
1	211	40586
2	323	41350
3	464	44330
4	563	42965
5	670	42442
6	778	42157
7	889	42050
8	994	41645
9	1096	41210
10	1192	40647
11	1296	40395
12	1404	40284
13	1498	39820
14	1592	39395
15	1708	39501
16	1813	39370
17	1933	39529
18	2028	39188
19	2132	39031
20	2240	38935
21	2342	38750
22	2452	38710
23	2545	38391
24	2653	38315
25	2754	38142
26	2864	38089
27	2952	37753
28	3055	37609
29	3167	37584
30	3267	37417
31	3362	37194
32	3456	36972
33	3564	36899
34	3675	36864
35	3768	36638
36	3866	36467
37	3975	36408
38	4088	36374
39	4211	36425
40	4309	36260
41	4419	36201
42	4521	36065
43	4645	36110
44	4739	35913
45	4848	35840
46	4955	35742
47	5063	35652
48	5163	35512
49	5277	35465
50	5394	35432
51	5509	35385
52	5645	35468
53	5761	35422
54	5880	35388
55	6004	35382
56	6125	35353
57	6240	35289
58	6344	35163
59	6460	35100
60	6567	34992
61	6674	34879
62	6802	34874
63	6924	34836
64	7048	34806
65	7151	34675
66	7251	34523
67	7366	34449
68	7470	34319
69	7587	34250
70	7684	34091
71	7795	33997
72	7917	33946
73	8023	33828
74	8145	33778
75	8270	33735
76	8366	33575
77	8483	33498
78	8601	33426
79	8699	33276
80	8817	33203
81	8905	33016
82	9038	32994
83	9145	32881
84	9250	32757
85	9373	32698
86	9490	32617
87	9607	32535
88	9699	32368
89	9801	32235
90	9903	32104
91	10005	31974
92	10116	31870
93	10227	31771
94	10342	31681
95	10440	31540
96	10541	31406
97	10646	31287
98	10758	31188
99	10852	31039
100	10944	30882
101	11056	30783
102	11145	30622
103	11242	30484
104	11340	30349
105	11459	30269
106	11562	30149
107	11683	30073
108	11793	29970
109	11908	29880
110	12023	29787
111	12135	29689
112	12251	29599
113	12364	29501
114	12463	29370
115	12568	29254
116	12677	29147
117	12805	29082
118	12905	28956
119	13020	28862
120	13122	28739
121	13222	28611
122	13336	28515
123	13423	28363
124	13531	28254
125	13632	28130
126	13747	28036
127	13851	27919
128	13947	27787
129	14068	27703
130	14170	27584
131	14279	27477
132	14379	27353
133	14498	27265
134	14590	27127
135	14690	27004
136	14794	26888
137	14906	26788
138	15017	26685
139	15118	26565
140	15232	26467
141	15326	26335
142	15438	26233
143	15556	26142
144	15661	26031
145	15762	25910
146	15866	25796
147	15972	25685
148	16087	25589
149	16199	25487
150	16300	25368
151	16416	25273
152	16515	25151
153	16622	25041
154	16728	24931
155	16852	24846
156	16949	24721
157	17058	24615
158	17189	24540
159	17314	24456
160	17413	24334
161	17534	24245
162	17647	24143
163	17764	24046
164	17873	23939
165	17988	23840
166	18109	23748
167	18212	23632
168	18341	23550
169	18460	23456
170	18608	23397
171	18724	23297
172	18845	23203
173	18964	23105
174	19061	22982
175	19159	22860
176	19279	22765
177	19401	22671
178	19516	22569
179	19633	22468
180	19753	22372
181	19851	22250
182	19955	22135
183	20071	22035
184	20186	21932
185	20305	21834
186	20421	21732
187	20541	21633
188	20660	21534
189	20784	21440
190	20890	21327
191	21015	21233
192	21127	21127
193	21225	21006
194	21335	20898
195	21459	20802
196	21582	20705
197	21681	20586
198	21778	20464
199	21882	20351
200	21996	20245
201	22101	20132
202	22208	20020
203	22302	19897
