iter	Logloss
0	0.6644486127
1	0.6375551281
2	0.611644959333	0.588237287944	0.566330863155	0.5466791716	6	0.5286892307	7	0.5112313898	8	0.4948410129	9	0.4795510961010	0.4650526971111	0.4514224912	0.4405630089
13	13	0.4284019614	14	0.4181924215	15	0.4081354216	16	0.3983415917	17	0.3892718318	18	0.3815113219	19	0.3741089920	20	0.36702929221	0.3604932234222	0.3540087142323	0.3482958302424	0.3426553932525	0.3374491226	26	0.3326667927	27	0.3280141528	28	0.3237058529	29	0.3197419130	30	0.3158156179
31	0.3123396032	32	0.3089344567
33	0.3057775896
34	0.3031604893
35	0.3004612519336	0.2977606373737	0.2954625438	38	0.2931113339	39	0.2910104140	40	0.2890367541	41	0.28694342	0.42	0.28513743	0.43	0.28336044	0.2816298981
45	0.2802180454
46	0.2787881974
47	047	0.277183048	048	0.275904349	0.2752253746
50	0.2740399143
51	0.2727652052
52	0.2717460694
53	0.2706601029
5454	0.2695197145555	0.26869190556	0.267904016355757	0.2669743735858	0.2661492155959	0.26540846660	0.2648480378661	0.2641843584662	0.2634497281
6363	0.2627975586464	0.2622597866565	0.2616962066666	0.2611947066767	0.2606554666868	0.2601382696969	0.25975107070	0.2593222677171	0.2588808077272	0.258488373	073	0.2580904124
74	0.2576988174
75	0.257367576	076	0.25703477	0.77	0.2567287878	78	0.2564237979	79	0.256108808080	0.2558163818181	0.2555186828282	0.2552974838383	0.2550345848484	0.2548105968585	0.2546063868686	0.2543900687	87	0.2541508588	88	0.2539648889	89	0.2537674618
90	0.2535385979
91	0.2533260369
92	0.25312193	0.93	0.25292294	094	094	0.25395	095	095	0.2529696	0.296	0.25297	0.25197	0.25298	0.2598	0.252599	0.2516520217
100	0.2515108148
101	0.2513818381
102	0.2512731096
103	0.2511483671
104	0.104	0.25182105	0.105	0.25167106	0.106	0.25155107	0.107	0.25144108	0.108	0.25134109	0.109	0.25123110	0.110	0.25113111	0.111	0.25101112	0.112	0.2508113	0.2113	0.2507114	0.2114	0.2507115	0.2115	0.2506116	0.2116	0.2505117	0.2496692064
118	0.2496045859
119	0.2495429873
120	0.2494661396
121	0.2493935454
122	0.2493148376
123	0.249241687
124	0.2491552336
125	0.249104294
126	0.2490189942
127	0.2489495607
128	0.2488815231
