iter	Passed	Remaining
0	99	48088
1	144	34718
2	195	31261
3	249	29770
4	302	28876
5	363	28799
6	422	28651
7	472	28019
8	531	27923
9	578	27300
10	624	26730
11	670	26278
12	713	25753
13	780	26099
14	837	26070
15	902	26270
16	948	25939
17	1004	25901
18	1052	25656
19	1098	25377
20	1150	25252
21	1203	25172
22	1295	25845
23	1381	26359
24	1434	26230
25	1487	26090
26	1542	25998
27	1602	25981
28	1652	25813
29	1699	25612
30	1751	25478
31	1800	25325
32	1853	25218
33	1910	25174
34	1964	25084
35	2019	25013
36	2069	24885
37	2119	24763
38	2168	24630
39	2218	24513
40	2268	24398
41	2319	24300
42	2373	24235
43	2427	24164
44	2482	24107
45	2548	24157
46	2606	24124
47	2663	24084
48	2717	24012
49	2773	23966
50	2833	23948
51	2919	24140
52	2981	24132
53	3033	24043
54	3089	23983
55	3140	23891
56	3196	23834
57	3251	23767
58	3315	23770
59	3375	23742
60	3431	23679
61	3484	23602
62	3550	23615
63	3608	23569
64	3666	23522
65	3721	23454
66	3774	23379
67	3825	23287
68	3878	23214
69	3924	23101
70	3972	22992
71	4020	22892
72	4070	22803
73	4122	22728
74	4183	22703
75	4232	22609
76	4277	22499
77	4331	22435
78	4393	22410
79	4445	22336
80	4502	22289
81	4545	22175
82	4591	22074
83	4646	22015
84	4693	21922
85	4740	21827
86	4796	21778
87	4842	21682
88	4907	21670
89	4964	21624
90	5017	21556
91	5070	21495
92	5119	21415
93	5168	21335
94	5214	21241
95	5257	21139
96	5303	21050
97	5359	21001
98	5413	20942
99	5458	20853
100	5508	20779
101	5556	20701
102	5600	20605
103	5649	20534
104	5698	20460
105	5744	20375
106	5799	20324
107	5858	20288
108	5911	20230
109	5961	20160
110	6011	20093
111	6058	20013
112	6100	19921
113	6145	19836
114	6189	19751
115	6231	19662
116	6280	19593
117	6333	19537
118	6391	19495
119	6438	19423
120	6494	19375
121	6542	19304
122	6590	19236
123	6650	19199
124	6703	19145
125	6751	19076
126	6805	19023
127	6852	18950
128	6907	18903
129	6961	18848
130	7008	18778
131	7052	18699
132	7100	18632
133	7151	18573
134	7195	18496
135	7239	18418
136	7284	18345
137	7331	18275
138	7395	18249
139	7440	18175
140	7486	18105
141	7542	18060
142	7589	17992
143	7637	17925
144	7685	17862
145	7741	17814
146	7788	17750
147	7836	17685
148	7897	17649
149	7945	17586
150	7992	17519
151	8040	17456
152	8089	17394
153	8134	17325
154	8178	17254
155	8231	17200
156	8277	17134
157	8322	17066
158	8367	16998
159	8416	16938
160	8460	16868
161	8511	16813
162	8556	16745
163	8606	16687
164	8654	16627
165	8698	16559
166	8747	16498
167	8785	16420
168	8837	16368
169	8888	16313
170	8936	16253
171	8981	16187
172	9033	16135
173	9086	16084
174	9138	16031
175	9188	15975
176	9248	15936
177	9291	15868
178	9339	15809
